年月日,降水量の合計,天気概況
2008/3/12,0,晴時々薄曇
2008/3/13,0,晴後一時薄曇
2008/3/14,47.5,雨時々曇
2008/3/15,1,晴
2008/3/16,0,晴一時曇
2008/3/17,0,曇
2008/3/18,0,晴
2008/3/19,17,曇時々雨
2008/3/20,27.5,雨
2008/3/21,0,曇一時雨
2008/3/22,0,快晴
2008/3/23,0,曇
2008/3/24,11.5,雨後曇
2008/3/25,14.5,晴
2008/3/26,0,晴一時薄曇
2008/3/27,0,晴一時雨
2008/3/28,3,曇時々晴一時雨、雷を伴う
2008/3/29,0,晴後薄曇
2008/3/30,8.5,曇時々雨
2008/3/31,26.5,雨後晴
2008/4/1,0,快晴
2008/4/2,0,晴後薄曇
2008/4/3,0,快晴
2008/4/4,0,薄曇時々晴
2008/4/5,0,薄曇一時晴
2008/4/6,0,快晴
2008/4/7,6,曇時々雨
2008/4/8,75,大雨、雷を伴う
2008/4/9,0,曇後一時晴
2008/4/10,35.5,雨
2008/4/11,3.5,曇一時雨後晴
2008/4/12,0,曇
2008/4/13,10,雨後曇
2008/4/14,6.5,雨後晴
2008/4/15,0,晴
2008/4/16,0,曇一時晴
2008/4/17,10.5,曇後雨
2008/4/18,70.5,雨
2008/4/19,0,曇一時晴
2008/4/20,0,曇後一時晴
2008/4/21,0,晴時々曇
2008/4/22,0,晴一時曇
2008/4/23,0,曇一時晴
2008/4/24,11,雨時々曇
2008/4/25,0,曇時々晴
2008/4/26,1.5,曇後時々雨
2008/4/27,2,曇一時雨後晴
2008/4/28,0,曇後時々晴
2008/4/29,0,晴一時曇
2008/4/30,0,快晴
2008/5/1,0,曇一時晴
2008/5/2,8,雨時々曇
2008/5/3,22,雨後曇
2008/5/4,0,曇
2008/5/5,0,曇後一時雨
2008/5/6,0,快晴
2008/5/7,0,晴一時薄曇
2008/5/8,0,薄曇一時晴
2008/5/9,0,薄曇
2008/5/10,16,雨
2008/5/11,8.5,雨後時々曇
2008/5/12,3.5,曇
2008/5/13,41,曇一時雨
2008/5/14,16.5,雨後曇
2008/5/15,0,薄曇時々晴
2008/5/16,0,薄曇一時晴
2008/5/17,0,晴一時曇
2008/5/18,0,晴一時曇
2008/5/19,13,曇一時雨
2008/5/20,78.5,曇一時雨
2008/5/21,0,晴
2008/5/22,0,晴後薄曇
2008/5/23,0,晴後一時薄曇
2008/5/24,13,薄曇後一時雨
2008/5/25,35.5,雨後曇
2008/5/26,0,曇時々晴
2008/5/27,0,晴
2008/5/28,0,曇時々晴
2008/5/29,27.5,雨
2008/5/30,5.5,曇時々雨
2008/5/31,19,雨
2008/6/1,0,晴後薄曇
2008/6/2,10,曇後雨
2008/6/3,32.5,雨
2008/6/4,0.5,曇
2008/6/5,2,曇時々雨
2008/6/6,0.5,晴時々薄曇
2008/6/7,0,薄曇一時晴
2008/6/8,0,曇時々雨
2008/6/9,1.5,曇時々雨
2008/6/10,0,薄曇一時晴
2008/6/11,0,曇
2008/6/12,26.5,雨後一時曇
2008/6/13,0,快晴
2008/6/14,0,薄曇一時晴
2008/6/15,0,曇
